Substructure,Frequency1,OccurrenceList1
[C:1]([CH3:2])([S:3])[CH:21]([N:20][C:18]=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])([S:3])[CH:21][N:20][C:18]([CH:5])=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4]([CH:5][NH:6])[N:20],1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4]1[CH:5][C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4][CH:5]([NH:6])[C:18]=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4][CH:5][NH:6][C:7]=[O:8],2,"1,0,1,0"
[C:1]([CH3:2])[CH:21][N:20]1[CH:4][CH:5][C:18]1=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21]([N:20][C:18]([CH:5])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21][N:20][C:18]([CH:5][NH:6])=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21]([N:20]([CH:4])[C:18]=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21]([N:20][CH:4][CH:5])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21][N:20][CH:4][CH:5][NH:6],1,"1,0,0,0"
[C:1]1[S:3][CH:4]([CH:5][NH:6])[N:20][CH:21]1,1,"1,0,0,0"
[C:1]1[S:3][CH:4]2[CH:5][C:18](=[O:19])[N:20]2[CH:21]1,1,"1,0,0,0"
[C:1]1[S:3][CH:4]([CH:5])[N:20][CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5]([NH:6])[C:18]=[O:19])[CH:21],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5][NH:6])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5][NH:6][C:7]=[O:8])[CH:21],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5][C:18]=[O:19])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]1[S:3][CH:4][N:20]([C:18]=[O:19])[CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3])[CH:21]([N:20][C:18]([CH:5])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3])[CH:21][N:20][C:18]([CH:5][NH:6])=[O:19],1,"1,0,0,0"
[C:1][S:3][CH:4]1[CH:5]([NH:6])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[C:1][S:3][CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20],1,"1,0,0,0"
[C:1][S:3][CH:4][CH:5]([NH:6][C:7]=[O:8])[C:18]=[O:19],1,"1,0,0,0"
[C:1][S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9],1,"1,0,0,0"
[C:1][CH:21][N:20]1[CH:4][CH:5]([NH:6])[C:18]1=[O:19],1,"1,0,0,0"
[C:1][CH:21]([N:20]1[CH:4][CH:5][C:18]1=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1][CH:21]([N:20][C:18]([CH:5][NH:6])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1][CH:21][N:20][C:18]([CH:5][NH:6][C:7]=[O:8])=[O:19],1,"1,0,0,0"
[C:1][CH:21]([N:20][CH:4][CH:5][NH:6])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1][CH:21][N:20][CH:4][CH:5][NH:6][C:7]=[O:8],1,"1,0,0,0"
[S:3][CH:4]1[CH:5]([NH:6])[C:18](=[O:19])[N:20]1[CH:21],1,"1,0,0,0"
[S:3][CH:4]1[CH:5]([NH:6][C:7]=[O:8])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[S:3][CH:4]1[CH:5][C:18](=[O:19])[N:20]1[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6])[N:20][CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20][CH:21],1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9])[N:20],1,"1,0,0,0"
[S:3][CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18]=[O:19],1,"1,0,0,0"
[S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][NH2:10],1,"1,0,0,0"
[S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11],1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6])[C:18](=[O:19])[N:20]1[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6][C:7]=[O:8])[C:18](=[O:19])[N:20]1[CH:21],1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20][CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9])[N:20][CH:21],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][NH2:10])[N:20],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][c:11])[N:20],1,"1,0,0,0"
[CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9][NH2:10])[C:18]=[O:19],1,"1,0,0,0"
[CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11])[C:18]=[O:19],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:12],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:17],1,"1,0,0,0"
[CH:5]([NH:6][C:7]=[O:8])[C:18](=[O:19])[N:20][CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18](=[O:19])[N:20][CH:21],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][NH2:10])[C:18](=[O:19])[N:20],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11])[C:18](=[O:19])[N:20],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11])[C:18]=[O:19],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:12])[C:18]=[O:19],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:17])[C:18]=[O:19],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:12][cH:13],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:17][cH:16],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12])[cH:17],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12][cH:13],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17][cH:16],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17][cH:16],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12][cH:13])[cH:17],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11][cH:12][cH:13][c:14][OH:15],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11][cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12])[cH:17][cH:16],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12][cH:13])[cH:17],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12][cH:13][c:14][OH:15],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[C:7](=[O:8])[CH:9][c:11]([cH:12][cH:13])[cH:17][cH:16],1,"1,0,0,0"
[C:7](=[O:8])[CH:9][c:11]([cH:12][cH:13][c:14][OH:15])[cH:17],1,"1,0,0,0"
[C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[C:7](=[O:8])[CH:9][c:11][cH:12][cH:13][c:14]([OH:15])[cH:16],1,"1,0,0,0"
[C:7](=[O:8])[CH:9][c:11][cH:17][cH:16][c:14]([cH:13])[OH:15],1,"1,0,0,0"
[CH:9]([NH2:10])[c:11]([cH:12][cH:13])[cH:17][cH:16],1,"1,0,0,0"
[CH:9]([NH2:10])[c:11]([cH:12][cH:13][c:14][OH:15])[cH:17],1,"1,0,0,0"
[CH:9]([NH2:10])[c:11]([cH:12])[cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[CH:9]([NH2:10])[c:11][cH:12][cH:13][c:14]([OH:15])[cH:16],1,"1,0,0,0"
[CH:9]([NH2:10])[c:11][cH:17][cH:16][c:14]([cH:13])[OH:15],1,"1,0,0,0"
[CH:9][c:11]1[cH:12][cH:13][c:14]([OH:15])[cH:16][cH:17]1,1,"1,0,0,0"
C[C:1]1([CH3:2])[S:3][CH:4]([CH:5])[N:20][CH:21]1,1,"1,0,0,0"
C[C:1]([CH3:2])([S:3][CH:4][CH:5])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([CH3:2])([S:3][CH:4][CH:5][NH:6])[CH:21],1,"1,0,0,0"
C[C:1]([CH3:2])([S:3][CH:4][CH:5][C:18]=[O:19])[CH:21],1,"1,0,0,0"
C[C:1]1([CH3:2])[S:3][CH:4][N:20][CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]1([CH3:2])[S:3][CH:4][N:20]([C:18]=[O:19])[CH:21]1,1,"1,0,0,0"
C[C:1]([CH3:2])([S:3])[CH:21]([N:20][C:18]=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([CH3:2])([S:3])[CH:21][N:20][C:18]([CH:5])=[O:19],1,"1,0,0,0"
C[C:1]([CH3:2])[S:3][CH:4]([CH:5][NH:6])[N:20],1,"1,0,0,0"
C[C:1]([CH3:2])[S:3][CH:4]1[CH:5][C:18](=[O:19])[N:20]1,1,"1,0,0,0"
C[C:1]([CH3:2])[S:3][CH:4][CH:5]([NH:6])[C:18]=[O:19],1,"1,0,0,0"
C[C:1]([CH3:2])[S:3][CH:4][CH:5][NH:6][C:7]=[O:8],2,"1,0,1,0"
C[C:1]([CH3:2])[CH:21][N:20]1[CH:4][CH:5][C:18]1=[O:19],1,"1,0,0,0"
C[C:1]([CH3:2])[CH:21]([N:20][C:18]([CH:5])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([CH3:2])[CH:21][N:20][C:18]([CH:5][NH:6])=[O:19],1,"1,0,0,0"
C[C:1]([CH3:2])[CH:21]([N:20]([CH:4])[C:18]=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([CH3:2])[CH:21]([N:20][CH:4][CH:5])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([CH3:2])[CH:21][N:20][CH:4][CH:5][NH:6],1,"1,0,0,0"
C[C:1]1[S:3][CH:4]([CH:5])[N:20][CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]1[S:3][CH:4]([CH:5][NH:6])[N:20][CH:21]1,1,"1,0,0,0"
C[C:1]1[S:3][CH:4]2[CH:5][C:18](=[O:19])[N:20]2[CH:21]1,1,"1,0,0,0"
C[C:1]([S:3][CH:4][CH:5][NH:6])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([S:3][CH:4][CH:5][C:18]=[O:19])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([S:3][CH:4][CH:5]([NH:6])[C:18]=[O:19])[CH:21],1,"1,0,0,0"
C[C:1]([S:3][CH:4][CH:5][NH:6][C:7]=[O:8])[CH:21],1,"1,0,0,0"
C[C:1]1[S:3][CH:4][N:20]([C:18]=[O:19])[CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([S:3])[CH:21]([N:20][C:18]([CH:5])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1]([S:3])[CH:21][N:20][C:18]([CH:5][NH:6])=[O:19],1,"1,0,0,0"
C[C:1][S:3][CH:4]1[CH:5]([NH:6])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
C[C:1][S:3][CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20],1,"1,0,0,0"
C[C:1][S:3][CH:4][CH:5]([NH:6][C:7]=[O:8])[C:18]=[O:19],1,"1,0,0,0"
C[C:1][S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9],1,"1,0,0,0"
C[C:1][CH:21]([N:20]1[CH:4][CH:5][C:18]1=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1][CH:21][N:20]1[CH:4][CH:5]([NH:6])[C:18]1=[O:19],1,"1,0,0,0"
C[C:1][CH:21]([N:20][C:18]([CH:5][NH:6])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1][CH:21][N:20][C:18]([CH:5][NH:6][C:7]=[O:8])=[O:19],1,"1,0,0,0"
C[C:1][CH:21]([N:20][CH:4][CH:5][NH:6])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
C[C:1][CH:21][N:20][CH:4][CH:5][NH:6][C:7]=[O:8],1,"1,0,0,0"
[C:1]1([CH3:2])[S:3][CH:4]([CH:5])[N:20][CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]1([CH3:2])[S:3][CH:4]([CH:5][NH:6])[N:20][CH:21]1,1,"1,0,0,0"
[C:1]1([CH3:2])[S:3][CH:4]2[CH:5][C:18](=[O:19])[N:20]2[CH:21]1,1,"1,0,0,0"
[C:1]([CH3:2])([S:3][CH:4][CH:5][NH:6])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])([S:3][CH:4][CH:5][C:18]=[O:19])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])([S:3][CH:4][CH:5]([NH:6])[C:18]=[O:19])[CH:21],1,"1,0,0,0"
[C:1]([CH3:2])([S:3][CH:4][CH:5][NH:6][C:7]=[O:8])[CH:21],1,"1,0,0,0"
[C:1]1([CH3:2])[S:3][CH:4][N:20]([C:18]=[O:19])[CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])([S:3])[CH:21]([N:20][C:18]([CH:5])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])([S:3])[CH:21][N:20][C:18]([CH:5][NH:6])=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4]1[CH:5]([NH:6])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20],1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4][CH:5]([NH:6][C:7]=[O:8])[C:18]=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21]([N:20]1[CH:4][CH:5][C:18]1=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21][N:20]1[CH:4][CH:5]([NH:6])[C:18]1=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21]([N:20][C:18]([CH:5][NH:6])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21][N:20][C:18]([CH:5][NH:6][C:7]=[O:8])=[O:19],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21]([N:20][CH:4][CH:5][NH:6])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([CH3:2])[CH:21][N:20][CH:4][CH:5][NH:6][C:7]=[O:8],1,"1,0,0,0"
[C:1]1[S:3][CH:4]2[CH:5]([NH:6])[C:18](=[O:19])[N:20]2[CH:21]1,1,"1,0,0,0"
[C:1]1[S:3][CH:4]([CH:5][NH:6])[N:20][CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]1[S:3][CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20][CH:21]1,1,"1,0,0,0"
[C:1]1[S:3][CH:4]2[CH:5][C:18](=[O:19])[N:20]2[CH:21]1[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5]([NH:6])[C:18]=[O:19])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5]([NH:6][C:7]=[O:8])[C:18]=[O:19])[CH:21],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5][NH:6][C:7]=[O:8])[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9])[CH:21],1,"1,0,0,0"
[C:1]([S:3])[CH:21]([N:20][C:18]([CH:5][NH:6])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1]([S:3])[CH:21][N:20][C:18]([CH:5][NH:6][C:7]=[O:8])=[O:19],1,"1,0,0,0"
[C:1][S:3][CH:4]1[CH:5]([NH:6][C:7]=[O:8])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[C:1][S:3][CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9])[N:20],1,"1,0,0,0"
[C:1][S:3][CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18]=[O:19],1,"1,0,0,0"
[C:1][S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][NH2:10],1,"1,0,0,0"
[C:1][S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11],1,"1,0,0,0"
[C:1][CH:21]([N:20]1[CH:4][CH:5]([NH:6])[C:18]1=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1][CH:21][N:20]1[CH:4][CH:5]([NH:6][C:7]=[O:8])[C:18]1=[O:19],1,"1,0,0,0"
[C:1][CH:21]([N:20][C:18]([CH:5][NH:6][C:7]=[O:8])=[O:19])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1][CH:21][N:20][C:18]([CH:5][NH:6][C:7](=[O:8])[CH:9])=[O:19],1,"1,0,0,0"
[C:1][CH:21]([N:20][CH:4][CH:5][NH:6][C:7]=[O:8])[C:22](=[O:23])[OH:24],1,"1,0,0,0"
[C:1][CH:21][N:20][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9],1,"1,0,0,0"
[S:3][CH:4]1[CH:5]([NH:6][C:7]=[O:8])[C:18](=[O:19])[N:20]1[CH:21],1,"1,0,0,0"
[S:3][CH:4]1[CH:5]([NH:6])[C:18](=[O:19])[N:20]1[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[S:3][CH:4]1[CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6][C:7]=[O:8])[N:20][CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9])[N:20][CH:21],1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][NH2:10])[N:20],1,"1,0,0,0"
[S:3][CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][c:11])[N:20],1,"1,0,0,0"
[S:3][CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9][NH2:10])[C:18]=[O:19],1,"1,0,0,0"
[S:3][CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11])[C:18]=[O:19],1,"1,0,0,0"
[S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11],1,"1,0,0,0"
[S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:12],1,"1,0,0,0"
[S:3][CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:17],1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6][C:7]=[O:8])[C:18](=[O:19])[N:20]1[CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18](=[O:19])[N:20]1[CH:21],1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6][C:7](=[O:8])[CH:9][NH2:10])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[CH:4]1[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11])[C:18](=[O:19])[N:20]1,1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9])[N:20][CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][NH2:10])[N:20][CH:21],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][c:11])[N:20][CH:21],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11])[N:20],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:12])[N:20],1,"1,0,0,0"
[CH:4]([CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:17])[N:20],1,"1,0,0,0"
[CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11])[C:18]=[O:19],1,"1,0,0,0"
[CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:12])[C:18]=[O:19],1,"1,0,0,0"
[CH:4][CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:17])[C:18]=[O:19],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:12][cH:13],1,"1,0,0,0"
[CH:4][CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:17][cH:16],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9])[C:18](=[O:19])[N:20][CH:21][C:22](=[O:23])[OH:24],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][NH2:10])[C:18](=[O:19])[N:20][CH:21],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11])[C:18](=[O:19])[N:20][CH:21],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11])[C:18](=[O:19])[N:20],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:12])[C:18](=[O:19])[N:20],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:17])[C:18](=[O:19])[N:20],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12])[C:18]=[O:19],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17])[C:18]=[O:19],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17])[C:18]=[O:19],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:12][cH:13])[C:18]=[O:19],1,"1,0,0,0"
[CH:5]([NH:6][C:7](=[O:8])[CH:9][c:11][cH:17][cH:16])[C:18]=[O:19],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12])[cH:17],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12][cH:13],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17][cH:16],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17][cH:16],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12][cH:13])[cH:17],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:12][cH:13][c:14][OH:15],1,"1,0,0,0"
[CH:5][NH:6][C:7](=[O:8])[CH:9][c:11][cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12])[cH:17][cH:16],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12][cH:13])[cH:17],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12][cH:13][c:14][OH:15],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12])[cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12][cH:13])[cH:17][cH:16],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11]([cH:12][cH:13][c:14][OH:15])[cH:17],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11][cH:12][cH:13][c:14]([OH:15])[cH:16],1,"1,0,0,0"
[NH:6][C:7](=[O:8])[CH:9][c:11][cH:17][cH:16][c:14]([cH:13])[OH:15],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12])[cH:17][cH:16][c:14][OH:15],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12][cH:13])[cH:17][cH:16],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11]([cH:12][cH:13][c:14][OH:15])[cH:17],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:12][cH:13][c:14]([OH:15])[cH:16],1,"1,0,0,0"
[C:7](=[O:8])[CH:9]([NH2:10])[c:11][cH:17][cH:16][c:14]([cH:13])[OH:15],1,"1,0,0,0"
